PRIME AUTO CARE,,,,,,
Lavagem  a partir dia 03/04/2025,,,,,,
HR-V - 10% Desc.,"R$ 45,00",03/04/2025,"R$ -35,00 Produtos","SOBROU = R$ 10,00 ",Tradicional,04 mes
T-Cross,"R$ 50,00",05/04/2025,,,Tradicional,04 mes
GOL,"R$ 50,00",05/04/2025,,,Tradicional,04 mes
Corsa,"R$ 50,00",05/04/2025,,,Tradicional,04 mes
Zafira,"R$ 50,00",05/04/2025,,,Tradicional,04 mes
Palio Weekend,"R$ 50,00",,,,Tradicional,04 mes
Fiat Uno ,"R$ 50,00",,,,Tradicional,04 mes
CG 125,"R$ 40,00",,,,Tradicional Moto,04 mes
HB 20,"R$ 40,00",,,,Tradicional,04 mes
Sportage ,"R$ 70,00",,,,Detalhada,04 mes
Golf,"R$ 72,00",,,,Detalhada,04 mes
Corsa,"R$ 40,00",,,,Tradicional,04 mes
Eco Sport,"R$ 60,00",,,,Tradicional,04 mes
Onix,"R$ 72,00",,,,Detalhada,04 mes
Fiesta ,"R$ 50,00",,,,Tradicional,04 mes
Fox,"R$ 50,00",25/04/2025,,,Tradicional,04 mes
T-Cross,"R$50,00",,,,Tradicional,04 mes
Zafira ,"R$40,00",,,,Tradicional,04 mes
Palio Weekend,"R$50,00",,,,Tradicional,04 mes
Ford ka,"R$50,00",,,,Tradicional,04 mes
Yaris,"R$72,00",,,,Detalhada,04 mes
Fiesta ,"R$50,00",03/05/2025,,,Tradicional,04 mes
Ônix,"R$60,00",,,,Tradicional,04 mes
Hb20 ,"R$65,00",07/05/2025,,,Tradicional,04 mes
Golf,"R$50,00",07/05/2025,,,Tradicional,04 mes
T-Cross,"R$50,00",,,,Tradicional,04 mes
Honda city ,"R$40,00",,,,Tradicional,04 mes
Voyage,"R$50,00",,,,Tradicional,04 mes
Polo,"R$60,00",,,,Tradicional,04 mes
Polo,R$ 60.00,D,18/05/2025,12,Tradicional,05 mes
Polo ,"R$72,00",D e G,"14,4",,Detalhada,05 mes
Golf ,"R$50,00",D,10,,Tradicional,05 mes
Palio,"R$50,00",D e G,10,,Tradicional,05 mes
Gol ,"R$50,00",D e G,10,,Tradicional,05 mes
I30,"R$72,00","D, G e S",14,,Detalhada,05 mes
Ônix,"R$45,00",D e G,9,,Tradicional,05 mes
Honda city ,"R$40,00",D e G,8,,Tradicional,05 mes
Fiesta ,"R$45,00",D e G,9,,Tradicional,05 mes
Eco Sport ,"R$55,00",D e G,11,,Tradicional,05 mes
Corsa,"R$50,00",D,10,,Tradicional,05 mes
Cg 150,"R$41,00",D e S,"8,2",,Tradicional Moto,05 mes
S10 ,"R$81,00",D e S,"16,2",,Detalhada,05 mes
Fiesta ,"R$50,00",,10,,Tradicional,05 mes
Cg 150,"R$40,00",D e G,D e G,,Tradicional Moto,05 mes
Golf,"R$50,00",D,10,,Tradicional,05 mes
Eco Sport,"R$50,00",D,10,,Tradicional,05 mes
Fazer 150,"R$45,00",D,10,,Tradicional Moto,05 mes
Spacefox,"R$50,00",D e G ,10,,Tradicional,05 mes
CrossFox ,"R$65,00",D e G,13,,Tradicional,05 mes
Prisma ,"R$50,00",D e G,10,,Tradicional,05 mes
Cruze ,"R$50,00",D e G,10,,Tradicional,05 mes
Palio ,"R$50,00",D e G,10,,Tradicional,05 mes
Palio,"R$50,00",D,10,,Tradicional,05 mes
Stilo ,"R$72,00",G e S,"14,4",,Detalhada,05 mes
Ônix ,"R$60,00",G e S,12,,Tradicional,05 mes
Jetta,"R$50,00",D e S,10,,Tradicional,05 mes
Prisma ,"R$72,00",D e S (V),"14,4",,Detalhada,05 mes
Compass,"R$60,00", D e G,12,,Tradicional,05 mes
Ônix ,"R$300,00",D e G (V),60,,Completa,05 mes
T-Cross,"R$50,00",D,21/06/2025,,Tradicional,06 mes
Cg 150,"R$35,00",D e G),,,Tradicional Moto,06 mes
I30,"R$72,00","D, G e S",,,Detalhada,06 mes
Gol,"R$72,00","D, G e S",,,Detalhada,06 mes
Ônix ,"R$50,00",D e S,,,Tradicional,06 mes
Corsa ,"R$50,00",D e S,,,Tradicional,06 mes
Corsa,"R$50,00",D,,,Tradicional,06 mes
Logan ,"R$50,00",D,,,Tradicional,06 mes
Golf,"R$50,00",D e G,,,Tradicional,06 mes
Civic ,"R$50,00",D e S,,,Tradicional,06 mes
Polo,"R$100,00",D e S,,,Tecnica,06 mes
Palio,"R$72,00",D e S,,,Detalhada,06 mes
Hb20,"R$72,00",D e S,,,Detalhada,06 mes
Fiesta,"R$50,00",D e S,,,Tradicional,06 mes
Palio Weekend ,"R$50,00",D e S,,,Tradicional,06 mes
Zafira,Luz e Água ,D e S,,,Tradicional,06 mes
Fiesta ,"R$50,00",D e S,,,Tradicional,06 mes
Classic ,"R$72,00","D, S e G",,,Detalhada,06 mes
City ,"R$40,00","D, S e G",,,Tradicional,06 mes
Fit ,"R$90,00","D, S e G",,,Detalhada,06 mes
Sandero ,"R$72,00","D, S e G ",,,Detalhada,06 mes
Voyage ,"R$72,00",D e G,,,Detalhada,06 mes
Azera ,"R$55,00",D e G,,,Tradicional,06 mes
Cherry,"R$70,00","D, S e G ",,,Tradicional,06 mes
Polo ,"R$50,00","D, G e S",,,Tradicional,06 mes
Ônix,"R$72,00","D, S e G ",,,Detalhada,06 mes
Ka,"R$40,00",S,,,Tradicional,06 mes
Fazer,"R$45,00",D e G,,,Tradicional Moto,06 mes
Kicks ,"R$65,00",D,,,Tradicional,06 mes
Siena,"R$50,00",D e S,,,Tradicional,06 mes
New Fiesta ,"R$50,00",D e G,,,Tradicional,06 mes
Kwid,"R$50,00",D e S,,,Tradicional,06 mes
Hb20,"R$50,00",D,,,Tradicional,06 mes
Gol,"R$72,00",D e S,,,Detalhada,06 mes
Kombi ,"R$80,00",D e G,,,Detalhada,06 mes
Fiesta,"R$50,00",D e G,,,Tradicional,06 mes
Up,"R$50,00","D, G e S",,,Tradicional,06 mes
Agile ,"R$50,00","D, G e S",,,Tradicional,06 mes
Fiesta,"R$50,00",D e G,19/07,,Tradicional,07 mes
Zafira ,"R$30,00","D, S e G",,,Tradicional,07 mes
Ford ka ,"R$80,00",D e G,,,Detalhada,07 mes
City,"R$40,00",D e S,,,Tradicional,07 mes
Golf ,"R$50,00",D e S,,,Tradicional,07 mes
Cb500,"R$45,00",D e S,,,Tradicional Moto,07 mes
Creta,"R$50,00",D e S,,,Tradicional,07 mes
Gol,"R$80,00",D e S,,,Detalhada,07 mes
SpaceFox,"R$110,00",D e S,,,Técnica,07 mes
Corsa,"R$50,00",D,,,Tradicional,07 mes
kardian ,"R$50,00",D e S,,,Tradicional,07 mes
